rank_best_elbo,run_dir,best_elbo,iter_at_best_elbo,last_elbo,delta_best_elbo_vs_best,test_rmse,valid_rmse,batch_size,n_mc_samples,use_sigmoid_output,n_iters,prior_stddev,likelihood_stddev,hidden_sizes,step_size,init_q_stddev,seed,elbo_column,history_csv
1,arch_100_iters_2000_bs_128_mc_100_lr_0p001_prior_0p5_lik_0p2_qstd_0p05_sigmoid_seed_101,-65.92308807373047,2000,-65.92308807373047,0.0,0.14028842747211456,0.28036823868751526,128,100,True,2000,0.5,0.2,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_128_mc_100_lr_0p001_prior_0p5_lik_0p2_qstd_0p05_sigmoid_seed_101/history.csv
2,arch_100_iters_2000_bs_64_mc_100_lr_0p001_prior_0p5_lik_0p2_qstd_0p05_sigmoid_seed_101,-66.02294921875,2000,-66.02294921875,0.09986114501953125,0.14198987185955048,0.27621713280677795,64,100,True,2000,0.5,0.2,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_64_mc_100_lr_0p001_prior_0p5_lik_0p2_qstd_0p05_sigmoid_seed_101/history.csv
3,arch_100_iters_2000_bs_128_mc_50_lr_0p001_prior_0p5_lik_0p2_qstd_0p05_sigmoid_seed_101,-66.06036376953125,2000,-66.06036376953125,0.13727569580078125,0.14015492796897888,0.27711349725723267,128,50,True,2000,0.5,0.2,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_128_mc_50_lr_0p001_prior_0p5_lik_0p2_qstd_0p05_sigmoid_seed_101/history.csv
4,arch_100_iters_2000_bs_32_mc_100_lr_0p001_prior_0p5_lik_0p2_qstd_0p05_sigmoid_seed_101,-66.23664093017578,2000,-66.23664093017578,0.3135528564453125,0.1429159939289093,0.26874813437461853,32,100,True,2000,0.5,0.2,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_32_mc_100_lr_0p001_prior_0p5_lik_0p2_qstd_0p05_sigmoid_seed_101/history.csv
5,arch_100_iters_2000_bs_64_mc_50_lr_0p001_prior_0p5_lik_0p2_qstd_0p05_sigmoid_seed_101,-66.24365234375,2000,-66.24365234375,0.32056427001953125,0.1418488472700119,0.26960253715515137,64,50,True,2000,0.5,0.2,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_64_mc_50_lr_0p001_prior_0p5_lik_0p2_qstd_0p05_sigmoid_seed_101/history.csv
6,arch_100_iters_2000_bs_128_mc_100_lr_0p001_prior_0p5_lik_0p5_qstd_0p05_sigmoid_seed_101,-66.47941589355469,2000,-66.47941589355469,0.5563278198242188,0.14555160701274872,0.3035780191421509,128,100,True,2000,0.5,0.5,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_128_mc_100_lr_0p001_prior_0p5_lik_0p5_qstd_0p05_sigmoid_seed_101/history.csv
7,arch_100_iters_2000_bs_64_mc_100_lr_0p001_prior_0p5_lik_0p5_qstd_0p05_sigmoid_seed_101,-66.4872817993164,2000,-66.4872817993164,0.5641937255859375,0.14674176275730133,0.29742905497550964,64,100,True,2000,0.5,0.5,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_64_mc_100_lr_0p001_prior_0p5_lik_0p5_qstd_0p05_sigmoid_seed_101/history.csv
8,arch_100_iters_2000_bs_32_mc_100_lr_0p001_prior_0p5_lik_0p5_qstd_0p05_sigmoid_seed_101,-66.50856018066406,2000,-66.50856018066406,0.5854721069335938,0.14946645498275757,0.297384113073349,32,100,True,2000,0.5,0.5,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_32_mc_100_lr_0p001_prior_0p5_lik_0p5_qstd_0p05_sigmoid_seed_101/history.csv
9,arch_100_iters_2000_bs_128_mc_50_lr_0p001_prior_0p5_lik_0p5_qstd_0p05_sigmoid_seed_101,-66.5369873046875,2000,-66.5369873046875,0.6138992309570312,0.14555513858795166,0.30108383297920227,128,50,True,2000,0.5,0.5,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_128_mc_50_lr_0p001_prior_0p5_lik_0p5_qstd_0p05_sigmoid_seed_101/history.csv
10,arch_100_iters_2000_bs_64_mc_50_lr_0p001_prior_0p5_lik_0p5_qstd_0p05_sigmoid_seed_101,-66.54896545410156,2000,-66.54896545410156,0.6258773803710938,0.1470281034708023,0.29493585228919983,64,50,True,2000,0.5,0.5,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_64_mc_50_lr_0p001_prior_0p5_lik_0p5_qstd_0p05_sigmoid_seed_101/history.csv
